model,mae,rmse,bias,r2
linear_response_only,0.0016396893166308203,0.0019840237850377225,2.530725431411273e-05,-0.21068980469880438
linear_all_features,0.033714376939712284,0.04217072714298024,0.009048186531492012,-545.9672402382865
rf_response_only,1.5725725219592674e-05,0.0002351441665025702,1.5725725219592674e-05,0.9829937893221029
rf_all_features,1.1905067675613217e-05,0.00021368577065044623,1.1905067675613217e-05,0.9859560154353462
