skala,satuan,model,evaluasi,mae,rmse,bias,r2,penurunan_rmse_persen,catatan
skala_sumber_numerik,unit sumber (konflik belum terselesaikan),raw_input_tanpa_ml,split_waktu_murni,0.0022650707978755236,0.0031459225177043115,0.0022650707978755236,-2.043933629989624,0.0,Baseline input dengan gangguan formula simulasi
skala_sumber_numerik,unit sumber (konflik belum terselesaikan),regresi_linear_3fitur,split_waktu_murni,0.005758261773735285,0.006626713298201295,-0.004841836169362068,-12.506272315979004,-110.64451717765245,"Fit 80% masa lalu, diuji 20% masa depan (float64); tidak mampu menangani suku kuadratik RH"
skala_sumber_numerik,unit sumber (konflik belum terselesaikan),rf_chrono_3fitur,split_waktu_murni,1.187836733391505e-05,0.00021339232894900036,1.187836733391505e-05,0.9859945615679502,93.21685999104898,"Fit 80% masa lalu, diuji 20% masa depan; bebas data leakage"
skala_x1000,ug/m3 (asumsi pengali 1000 commit 67f2639),raw_input_x1000_tanpa_ml,split_waktu_murni,2.2650704383850098,3.1459226953475095,2.2650704383850098,-2.0439341068267822,0.0,Baseline input skala x1000 dengan gangguan formula simulasi
skala_x1000,ug/m3 (asumsi pengali 1000 commit 67f2639),regresi_linear_x1000_3fitur,split_waktu_murni,5.7582621574401855,6.626713657071827,-4.841836452484131,-12.506274223327637,-110.64451669051,"Fit 80% masa lalu, diuji 20% masa depan skala x1000 (float64)"
skala_x1000,ug/m3 (asumsi pengali 1000 commit 67f2639),rf_chrono_x1000_3fitur,split_waktu_murni,0.011859138960352693,0.21310474818007302,0.011859138960352693,0.9860322842203887,93.22600175474011,"Fit 80% masa lalu, diuji 20% masa depan skala x1000; bebas data leakage"
skala_x1000,ug/m3 (asumsi pengali 1000 commit 67f2639),rf_rekonstruksi_python_joblib,keterlacakan_model_historis,0.009301825846904857,0.207265774636504,0.009301825846904857,0.9867872163322351,93.41160623739965,Model rekonstruksi Python; mengandung data leakage 79.685% (26689/33493 baris) akibat random split lama
skala_x1000,ug/m3 (asumsi pengali 1000 commit 67f2639),rf_header_cpp_aktif_model_pm_h,keterlacakan_header_cpp_asli,0.009309750981628895,0.2075728583538156,0.009309750981628895,0.9867480397224426,93.40184491307451,"Uji binary C++ (eksekusi: success, paritas: passed); mean selisih 2.63e-05, maks 0.324 (99.99% data <= 1e-4); tercemar 79.685% leakage"
