baseline,model,metrik,sebelum,sesudah_ml,penurunan_error_persen
raw_input_tanpa_ml,rf_chrono_3fitur,RMSE,0.0031459225177043115,0.00021339232894900036,93.21685999104898
raw_input_tanpa_ml,rf_chrono_3fitur,MAE,0.0022650707978755236,1.187836733391505e-05,99.47558516294255
